tí:weˀs	' a stray (animal)’	[tí:-w-e-ˀs]	contrastive-it.a-go-habitual
iheˀs	‘he is here’	[i-h-e-ˀs]	prothetic-he.a-go-habitual
dagę́:neˀ	'they (z) are coming’	[da-gę́:n-e-ˀ]	cislocative.factual-they(animals)/objects.a-go-punctual
dǫdáheˀ	'he is coming back’	[dǫdá-h-e-ˀ]	dualic.factual.cislocative-he.a-go-punctual
haˀseˀ	'you are going’	[haˀ-s-e-ˀ]	translocative.factual-you(one).a-go-punctual
haˀgę́:neˀ	'they (z) are going’	[haˀ-gę́:n-e-ˀ]	translocative.factual-they(animals)/objects.a-go-punctual
haˀgáęˀ	'they (f/m) are going’	[haˀ-gáę-ˀ]	translocative.factual-they(fe/males).a-punctual
edwe:ˀ	'we all went together’	[e-dw-e-:-ˀ]	factual-we.all.inclusive.a-go-purposive-punctual
haˀá:kne:ˀ	'we two went’	[haˀ-á:kn-e-:-ˀ]	factual-we.two.exclusive.a-go-purposive-punctual
hǫsá:kne:ˀ	'we two went back’	[hǫsá:-kn-e-:-ˀ]	translocative.factual.repetitive-we.two.exclusive.a-go-purposive-punctual
hǫsá:ge:ˀ	'I did go again’	[to] there [hǫsá:-g-e-:-ˀ]	translocative.factual.repetitive-I.a-go-purposive-punctual
nǫdá:kne:ˀ	'where we two came from’	[nǫdá:-kn-e-:-ˀ]	partitive.cislocative.factual-we.two.exclusive.a-go-purposive-punctual
nǫdá:ge:ˀ	'I come from’; ‘I came from’	[nǫdá:-g-e-:-ˀ]	partitive.cislocative.factual-I.a-go-purposive-punctual
ętseˀ	'you will wander’	[ę:] side [tsǫ:] just [ę-t-s-e-ˀ]	future-cislocative-you(one).a-go-punctual
ętheˀ	'he will come this way’	[ę-t-h-e-ˀ]	future-cislocative-he.a-go-punctual
dętgeˀ	'I will come this way’; ‘I will come back’; ‘I am coming back’	[d-ę-t-g-e-ˀ]	dualic-future-cislocative-I.a-go-punctual
ętgeˀ	'I will come’	[ę-t-g-e-ˀ]	future-cislocative-I.a-go-punctual
ętgaęˀ	'they (f/m) will come’	[ę-t-gaę-ˀ]	future-cislocative-they(fe/males).a-punctual
dęgyá:kneˀ	'we two will come back’	[d-ę-g-yá:kn-e-ˀ]	dualic-uture-cislocative-we.two.exclusive.a-go-punctual
hę́:geˀ	'I will go’	[hę́:-g-e-ˀ]	translocative-future-I.a-go-punctual
hę́:ge:ˀ	'I will go there’	[hę́:-g-e-:-ˀ]	translocative.future-I.a-go-purposive-punctual
naˀdę́:tge:ˀ	'I will come back over here, return’	[naˀdę́:t-g-e-:-ˀ]	partitive.dualic.future.cislocative-I.a-go-purposive-punctual
hęhsge:ˀ	'I am going back there’	[hęhs-g-e-:-ˀ]	translocative.future.repetitive-I.a-go-purposive-punctual
hęhsge:ˀ	'I will go again’	[to] there [e:] again [hęhs-g-e-:-ˀ]	translocative.future.repetitive-I.a-go-purposive-punctual
ędwe:ˀ	'we will go together’	[ę-dw-e-:-ˀ]	future-we.all.inclusive.a-go-purposive-punctual
ęhsne:ˀ	'you two will go together’	[ę-hsn-e-:-ˀ]	future-you(two).a-go-purposive-punctual
hęhé:ˀ	‘he went there’	[h-ę-h-e-:-ˀ]	translocative-future-he.a-go-purposive-punctual,
aǫdá:geˀ	'I should come’	[aǫdá:-g-e-ˀ]	indefinite.cislocative-I.a-go-punctual
naˀdǫ́:da̲heˀ	'he would come this way’	[naˀdǫ́:da̲-h-e-ˀ]	partitive.dualic.indefinite.cislocative-he.a-go-punctual
dǫdá:kneˀ	'we two would come back’	[dǫdá:-kn-e-ˀ]	dualic.indefinite.cislocative-we.two.exclusive.a-go-punctual
há:ge:ˀ	'I should go there’	[há:-g-e-:-ˀ]	translocative.indefinite-I.a-go-purposive-punctual
hǫsá:ge:ˀ	'I would go again’	[to] there [e:] again [hǫsá:-g-e-:-ˀ]	translocative.repetitive.indefinite-I.a-go-purposive-punctual
á:yakne:ˀ	'we two would go together’	[á:-yakn-e-:-ˀ]	indefinite-we.two.exclusive.a-go-purposive-punctual
í:geˀ	'I am walking, moving’	[í:-g-e-ˀ]	prothetic-I.a-go-stative
agéhseˀ	‘I am riding’	[agé-hs-e-ˀ]	I.o-lower.back-go-stative
agéhse:ˀ	‘I rode’, ‘I came riding’	[agé-hs-e-:-ˀ]	I.o-lower.back-go-purposive-stative
khrę́:deˀ	‘I lead, go in front’	[k-hrę́:d-e-ˀ]	I.a-lead-go-aspect
kdákseˀ	‘I am running’	[k-dáks-e-ˀ]	I.a-run-go-aspect
gehsreˀ	‘I am chasing it’	[ge-hsr-e-ˀ]	I.a-follow-go-aspect
agéˀdreˀ	‘I am riding along’	[agé-ˀdr-e-ˀ]	I.a-ride-go-aspect
gyená:greˀ	‘she lives, stays, dwells over there’; ‘people live over there’	[g-ye-ná:gr-e-ˀ]	cislocative-she.a-dwell-go-aspect
grá:deˀ	‘I climb’	[g-rá:d-e-ˀ]	I.a-climb-go-aspect
hǫwáhnǫdreˀ	‘someone is following him’	[hǫwá-hnǫdr-e-ˀ]	someone:him-follow-go-aspect
deyagodáwęnyeˀ	‘she is walking’	[de-yago-d-áwęny-e-ˀ]	dualic-she.o-semireflexive-stir-go-aspect
hadíhsreˀ	‘they follow, chase’	[had-íhsr-e-ˀ]	they(males).a-follow-go-aspect
gathahí:neˀ	‘I amwalking’	[g-at-hah-í:n-e-ˀ]	I.a-semireflexive-road-move-go-aspect
degagyohsgwí:neˀ	‘I am crawling’	[de-g-ag-yohsgw-í:n-e-ˀ]	dualic-I.a-semireflexive-elbow-move-go-aspect
gǫnę:tsí:neˀ	‘I amleading you by the hand’	[gǫ-nę:ts-í:n-e-ˀ]	I:you-arm-move-go-aspect
hohseˀ	‘he is riding a horse’	[ho-hs-e-ˀ]	he.o-lower.back-go-aspect
nyo:weˀ	‘how far (distance)’; ‘to be a certain distance’	[ni-yó:-w-e-ˀ]	partitive-it.o-distance/amount-go-aspect
khá:wiˀ	‘I am carrying it’	[k-há:w-i-ˀ]	I.a-hold-go-aspect
agéhseˀ	‘I am riding’	[agé-hs-e-ˀ]	I.o-lower.back-go-stative
agéhse:ˀ	‘I rode’, ‘I came riding’	[agé-hs-e-:-ˀ]	I.o-lower.back-go-purposive-stative
gegyeˀ	‘I am flying’	[ge-gy-e-ˀ]	I.a-fly-go-stative
gegye:ˀ	‘I came flying’	[ge-gy-e-:-ˀ]	I.a-fly-go-purposive-stative
kdakseˀ	‘I am running’	[k-daks-e-ˀ]	I.a-run-go-stative
kdakse:ˀ	‘I was running’	[k-daks-e-:-]	I.a-run-go-purposive-stative
ge̲hsreˀ	‘I am chasing it’	[ge̲-hsr-e-ˀ]	I.a-follow-go-stative
ge̲hsre:ˀ	‘I was chasing it’	[ge-hsr-e-:-ˀ]	I.a-follow-go-purposive-stative
gatahí:neˀ	‘I amwalking’	[g-at-hah-í:n-e-ˀ]	I.a-semireflexive-road-lead-go-stative
degagyo̲hsgwí:neˀ	‘I am crawling’	[de-g-ag-yo̲hsgw-í:n-e-ˀ]	dualic-I.a-semireflexive-elbow-follow-go-stative
degagyo̲hsgwí:ne:ˀ	‘I was crawling’	[de-g-ag-yo̲hsgw-í:n-e-:-ˀ]	dualic-I.a-semireflexive-elbow-follow-go-purposive-stative
krę́:deˀ	‘I lead, go in front’	[k-hrę́:d-e-ˀ]	I.a-lead-go-stative
krę́:de:ˀ	‘I lead, went in front’	[k-hrę́:d-e-:-ˀ]	I.a-lead-go-purposive-stative
grá:deˀ	‘I climb’	[g-rá:d-e-ˀ]	I.a-climb-go-stative
grá:de:ˀ	‘I climbed’	[g-rá:d-e-:-ˀ]	I.a-climb-go-purposive-stative
ká:wi:ˀ	‘I was carrying it’	[k-há:w-i-:-ˀ]	I.a-carry-go-purposive-stative
krę́:dehk	‘I led, went in front’	[k-hrę́:d-e-hk]	I.a-lead-go-former
krę́:de:ˀ	‘I led, went in front’	[k-hrę́:d-e-:-ˀ]	I.a-lead-go-purposive-stative
grá:dehk	‘I climbed’	[g-rá:d-e-hk]	I.a-climb-go-former
grá:de:ˀ	‘I climbed’	[g-rá:d-e-:-ˀ]	I.a-climb-go-purposive-stative
tgáenagrehk	‘they did or used to live there’	[t-gáe-nagre-hk]	cislocative-they(fe/males).a-live-former
tgaenagréˀgę̲hę:ˀ	‘they used to live there’	[t-gae-nagré-ˀ-gę̲hę:ˀ]	cislocative-they(fe/males).a-live-stative-past
tgáenagreˀ	‘they live there’	[t-gáe-nagre-ˀ]	cislocative-they(fe/males).a-live-stative
agékdǫ̲-hneˀ	'I amgoing to see it'	[a-gé-kdǫ̲-hn-e-ˀ]	factual-I.a-examine-dislocative-go-stative
ęgékdǫ̲-hnaˀ	'I will go see'	[ę-gé-kdǫ̲-hn-aˀ]	future-I.a-examine-dislocative-punctual
ęgékdǫ:ˀ	'I will see, look'	[ę-gé-kdǫ-:ˀ]	future-I.a-examine-punctual
gadáhnyo̲hneˀs	'to fish continuously'	[g-ad-áhny-o̲-hn-e-ˀs]	I.a-semireflexive-hook-put.in.water-dislocative-go-habitual
hatrǫnya̲hnéˀsgę̲hę:ˀ	'he used to tell'	[h-at-hrǫny-a̲hn-é-ˀs-gę̲hę:ˀ]	he.a-semireflexive-tell-dislocative-go-habitual-past
ęgahyagwáhse:k	'I will be a fruit picker'	[ę-g-ahya-gw-áhs-e-:k]	future-I.a-fruit-pick-dislocative-go-modalizer
ętayętwáhse:k	'he will be planting over there'	[ę-t-ha-yętw-áhs-e-:k]	future-cislocative-he.a-plant-dislocative-go-modalizer
a:ga̲hyágwa̲hse:k	'I might be a fruit picker'	[a:-g-a̲hyá-gw-a̲hs-e-:k]	indefinite-I.a-fruit-pick-dislocative-go-modalizer
ǫ:tayę́twa̲hse:k	'he would be planting over there'	[ǫ:-t-ha-yętw-a̲hs-e-:k]	indefinite-cislocative-he.a-plant-dislocative-go-modalizer
tsǫ:	'just let him keep planting'	[a:-ha-yętw-a̲hs-é-:k tsǫ:]	indefinite-he.a-plant-dislocative-go-modalizer
gatrǫ́nya̲hneˀ	'I have come here to tell'	[g-at-hrǫ́ny-a̲hn-e-ˀ]	I.a-semireflexive-tell-dislocative-go-stative
ǫdéˀdǫ̲hneˀ	'she is about to give birth'	[ǫ-dé-ˀdǫ̲-hn-e-ˀ]	she.a-semireflexive-be.due
ęyǫ́de̲ˀdǫ:ˀ	'when she will be due'	[ę-yǫ́-de-ˀdǫ-:ˀ]	future-she.a-semireflexive-be.due-punctual
de̲hęnatgwáhneˀ	'they (m) are going to dance'	[de̲-hęn-at-gw-áhn-e-ˀ]	dualic-they(males).a-semireflexive-dance-dislocative-go-stative
de̲hohedáhneˀ	'he is going along hollering'	[de̲-ho-hed-áhn-e-ˀ]	dualic-he.o-yell-dislocative-go-stative
de̲hóhethaˀ	'he is hollering'	[de̲-hó-het-haˀ]	dualic-he.o-yell-habitual
gatrǫ́nya̲hne:ˀ	'I came and told'	[g-at-hrǫ́ny-a̲hn-e-:-ˀ]	I.a-semireflexive-tell-dislocative-go-purposive-stative
ohsdéhsdǫh	'it has evaporated, all dried up'	[o-hsdéhsd-ǫh]	it.o-evaporate-stative
sa̲hohdęgyǫ́hǫgyeˀ	'he is on his way home'	[sa̲-ho-hdęgy-ǫ́h-ǫgy-e-ˀ]	repetitive-he.o-leave-stative-progressive-go-stative
hesáhdęgyǫ:	'you went over there'	[he-s-áhdęgy-ǫ:]	translocative-you(one).o-leave-stative
otsihsˀǫ̲hǫ́:gyeˀ	'it is getting mature’	[o-tsihsˀ-ǫ̲h-ǫ́:gy-e-ˀ]	it.o-mature-stative-progressive-go-stative
otsíhsˀǫh	'it is done for the season', 'it has gone full cycle', 'it is mature', 'they (plants) have finished out'	[o-tsíhsˀ-ǫh]	it.o-mature-stative
hodǫgo̲hdǫ́hǫgyeˀ	'he is going along passing’	[ho-d-ǫgo̲hd-ǫ́h-ǫgy-e-ˀ]	he.o-semireflexive-surpass-stative-progressive-go-stative
hodǫ́go̲hdǫh	'he has gone past'	[ho-d-ǫ́go̲hd-ǫh]	he.o-semireflexive-surpass-stative
go̲hdogadǫ́-ǫgyeˀ	'she is growing something’	[go̲-hdogad-ǫ́h-ǫgy-e-ˀ]	she.o-cause.to.grow-stative-progressive-go-stative
ǫgahdǫgáˀdǫh	'she (e.g., a guardian) raised me'	[ǫg-ahǫgáˀd-ǫh]	she:me-raise-stative
odaˀgra̲hdǫ́hǫgyeˀ	'it is surfacing’	[o-d-aˀgra̲hd-ǫ́h-ǫgy-e-ˀ]	it.o-semireflexive-float-stative-progressive-go-stative
odáˀgra̲hdǫh	'it is floating'	[o-d-áˀgra̲hd-ǫh]	it.o-semireflexive-float-stative
agade̲ˀgwę́hęgyeˀ	'I am running away again’	[ag-ade̲-ˀgw-ę́h-ęgy-e-ˀ]	I.o-semireflexive-run.away-stative-progressive-go-stative
da̲hodawę́hęgyeˀ	'he is swimming towards us’	[da̲-ho-d-awę́h-ęgy-e-ˀ]	cislocative-he.o-semireflexive-swim-stative-progressive-go-stative
hodá:węh	'he did swim'	[ho-d-á:w-ęh]	he.o-semireflexive-swim-stative
go̲hsganye̲há:gyeˀ	'she is shuffling along’	[go̲-hsganye̲-h-á:gy-e-ˀ]	she.o-shuffle-pronunciation.h-progressive-go-stative
gohsga:nye:ˀ	'she has shuffled’	[go-hsgá:nye-:ˀ]	she.o-shuffle-stative
sagawe̲há:gyeˀ	'you are paddling along’	[sa-gawe̲-h-á:gy-e-ˀ]	you(one).o-paddle-pronunciation.h-progressive-go-stative
agyǫdi̲há:gyeˀ	'I am going along smiling'	[ag-yǫdi̲-h-á:gy-e-ˀ]	I.o-smile-pronunciation.h-progressive-go-stative
hoyǫ́gyǫ̲hne:ˀ	'he has already smiled; he did smile'	[ho-yǫgy-ǫ̲-hne:ˀ]	he.o-smile-stative-remote
ęjisadekǫníhagyeˀ	'you can (literally, 'will') eat while you are going along’	[ę-ji-s-ade-k-ǫní-h-agy-e-ˀ]	future-repetitive-you(one).o-semireflexive-food-make-pronunciation.h-progressive-go-stative
hode:kǫ́:ni:	'he is eating'	[ho-de:-k-ǫ́:ni-:]	he.o-semireflexive-food-make-stative
gaǫhyadá:gyeˀ	'on-going skies, heavens, skyline, horizon'	[ga-ǫhya-d-á:gy-e-ˀ]	it.a-sky-stand.stative-progressive-go-stative
onǫnyáędagyeˀ	'it is freezing’	[o-nǫnyá-ę-d-agy-e-ˀ]	it.o-ice-lie.stative-pronunciation.d-progressive-go-stative
onǫ́nyaęˀ	'it is frozen'	[o-nǫ́nya-ęˀ]	it.o-ice-lie.stative
awęnowaędá:gyeˀ	'it is sinking'	[aw-ęnowa-ę-d-á:gy-e-ˀ]	it.o-sink-lie.stative-pronunciation.d-progressive-go-stative
ęwęnǫwáęˀ	'it will sink'	[w-ęnǫwá-ę-ˀ]	future-it.a-sink-lie.stative-punctual
degahsdę̲hódagyeˀ	'mountain range, the Rockies'	[de-ga-hsdę̲h-ód-agy-e-ˀ]	dualic-it.a-stone-standing.stative-progressive-go-stative
gajiˀdodá:gyeˀ	'someone is going along crying'	[ga-jiˀd-od-á:gy-e-ˀ]	it.a-cry-standing.stative-progressive-go-stative
gajíˀdo:t	'it is crying'	[ga-jíˀd-o:t]	it.a-cry-standing.stative
desatnǫ̲hweˀtsodá:gyeˀ	'you are going along doing handstands'	[de-s-at-nǫ̲hweˀts-od-á:gy-e-ˀ]	dualic-you(one).a-semireflexive-noun-standing.stative-progressive-go-stative
dewaˀdęhǫ́dagyeˀ	'wood fence, rail and stump fence'	[de-w-aˀdęh-ǫ́d-agy-e-ˀ]	dualic-it.a-fence-rooted.stative-progressive-go-stative
honhǫ́dagyeˀ	'he has it in his mouth as he moves'	[ho-nhǫ́d-agy-e-ˀ]	he.o-opening-progressive-go-stative
odóˀkdagyeˀ	'rim, outer and inner rim splint; along the edge'	[o-d-óˀkd-agy-e-ˀ]	it.o-semireflexive-end.stative-progressive-go-stative
ǫgyaˀda̲hshęˀǫhǫ́:gyeˀ	‘I am arriving late’	[ǫg-yaˀd-a̲hshęˀ-ǫh-ǫ́:gy-e-ˀ]	factual.I.o-body-slow-stative-progressive-go-punctual
ǫgyáˀda̲hshęˀ	‘I was late’	[ǫg-yáˀd-a̲hshę-ˀ]	factual.I.o-body-slow-punctual
ęyago̲hdogadǫ́hǫgyeˀ	‘she will be continually growing it or them’	[ę-yago̲-hdogad-ǫ́h-ǫgy-e-ˀ]	future-she.o-cause.to.grow-stative-progressive-go-punctual
ęwaga̲hyagǫ̲hǫ́:gyeˀ	‘I will be eating fruit as I am going along’	[ę-wag-a̲hya-g-ǫ̲h-ǫ́:gy-e-ˀ]	future-I.o-fruit-eat-stative-progressive-go-stative
a:wagahyagwę́hęgyeˀ	‘I should be picking fruit along’	[a:-wag-ahya-gw-ę́h-ęgy-e-ˀ]	indefinite-I.o-fruit-pick-stative-progressive-go-punctual
deyǫkiyęˀnyadǫ́hǫgyeˀs	‘they protect us’	[de-yǫkiy-ę-ˀnya-d-ǫ́h-ǫgy-e-ˀs]	dualic-they:us-semireflexive-hand-stand-stative-progressive-go-habitual
deyǫkiyę́ˀnyadǫˀ	‘they protect us with their hands’; ‘angels’	[de-yǫkiy-ę́-ˀnya-d-ǫˀ]	dualic-they:us-semireflexive-hand-stand.stative-plural
honadahsehdǫ̲hǫ́:gyeˀs	‘they (m) are sneaking around’	[hon-ad-ahsehd-ǫ̲h-ǫ́:gy-e-ˀs]	they(males).o-semireflexive-hide-stative-progressive-go-habitual
agada̲hséhdǫh	‘I am hiding now’	[ag-ad-a̲hséhd-ǫh]	I.o-semireflexive-hide-stative
agahyagwę́hęgyeˀs	‘I amgoing along picking fruit all over the place’	[ag-ahya-gw-ę́h-ęgy-e-ˀs]	I.o-fruit-pick-stative-progressive-go-habitual
agahyagwę́hęgyeˀ	‘I amgoing along picking fruit’	[ag-ahya-gw-ę́h-ę-gy-e-ˀ]	I.o-fruit-pick-stative-progressive-go-stative
sadeˀgwę̲hę́:gyeˀs	‘you are avoiding’	[sa-de-ˀgw-ę̲h-ę́:gy-e-ˀs]	you(one).o-semireflexive-flee-stative-progressive-go-habitual
ęhsáde̲ˀgoˀ	‘you will flee, run away’	[ę-hs-áde̲-ˀgo-ˀ]	future-you(one).a-semireflexive-flee-punctual
deyǫgwa̲hgwę́hęgyeˀs	‘we all are continually picking it up’	[de-yǫgw-a̲hgw-ę́h-ęgy-e-ˀs]	dualic-we.all.o-pick.up-stative-progressive-go-habitual
de̲hoya̲ˀdáhgwęh	‘it picked him up’	[de̲-ho-ya̲ˀd-áhgw-ęh]	dualic-he.o-body-pick.up-stative
tiwa:gǫ́:ni:	‘I have made it in place of something else, replaced it’	[ti-wa:g-ǫ:ni-:]	contrastive-I.o-make-stative
ga̲hyagwę̲hęgye̲ˀsgę́hę:ˀ	'I used to be a fruit picker'	[g-a̲hya-gw-ę̲h-ęgy-e̲-ˀs-gę́hę:ˀ]	I.a-fruit-pick-stative-progressive-go-habitual-past
a:wagahyagwęhęgyéˀse:k	'I would (still) have been picking fruit…'	[a:-wag-ahya-gw-ęh-ęgy-é-ˀs-e:k]	indefinite-I.o-fruit-pick-stative-progressive-go-habitual-modalizer
ęgǫnętsí:neˀ	‘I will lead you by the hand’	[ę-gǫ-nęts-í:n-e-ˀ]	future-I:you-arm-lead-go-aspect
ękǫ́ˀji̲hneˀ	'I am going to get dark'	[ę-k-hǫ́ˀji̲-hn-e-ˀ]	future-I.a-dark-dislocative-go-aspect
akǫ́ˀji̲hneˀ	‘I got dark, black (really tanned)’	[a-k-hǫ́ji̲-hn-e-ˀ]	factual-I.a-dark-dislocative-go-aspect
ga̲hǫ́ˀji:	‘it is dark-coloured’	[ga̲-hǫ́ˀji-:]	it.a-dark-stative
ękrę́:dehk	‘I will lead, go in front’	[ę-k-hrę́:d-e-hk]	future-I.a-lead-go-former
krę́:dehk	‘I led, went in front’	[k-hrę́:d-e-hk]	I.a-lead-go-former
ęgrá:de-hk	‘I will climb’	[ę-g-rá:d-e-hk]	future-I.a-climb-go-former
grá:de-hk	‘I climbed’	[g-rá:d-e-hk]	I.a-climb-go-former
de̲ˀagyade:kǫ́:nih	‘we two do not eat’	[tęˀ de̲ˀ-agy-ade:-kǫ́:ni-h]	negative-we.two.exclusive.a-semireflexive-eat-habitual
de̲ˀaknigǫháędaˀs	‘I do not understand’	[tęˀ] not [de̲ˀ-ak-nigǫháęd-a-ˀs]	negative-I.o-understand-joinerA-habitual
aknigǫ̲háędaˀs	‘I understand’	[ak-nigǫ̲háęd-a-ˀs]	I.o-understand-joinerA-habitual
degé:gęhs	‘I do not see things’	[tęˀ] not [de-gé:-gę-hs]	negative-I.a-see-habitual
de̲ˀa:kní:nǫh	‘I did not buy it’	[tęˀ] not [de-wa:k-hní:nǫ-h], [tęˀ] not [de̲ˀ-a:k-hní:nǫ-h]	negative-I.o-buy-stative
akní:nǫh	‘I did buy it’	[ak-hní:nǫ-h]	I.o-buy-stative
degá:nǫ:ˀ	‘it is not costly’	[tęˀ] not [de-gá:-nǫ:ˀ]	negative-it.a-costly.stative
ganǫ:ˀ	‘it is expensive, dear, precious’	[ga-nǫ:ˀ]	it.a-costly.stative
de̲hóyętwęh	‘he did not plant’	[tęˀ] not [de̲-hó-yętw-ęh]	negative-he.o-plant-stative
aháyętoˀ	‘he did plant’	[a-há-yęto-ˀ]	factual-he.a-plant-punctual
de̲hóyętwęh	‘he did not plant’	[tęˀ] not [de̲-hó-yętw-ęh]	negative-he.o-plant-stative
hoyę́:twęh	‘he is planting’	[ho-yę́:tw-ęh]	he.o-plant-stative
ta:gaesayę́:de:	‘they will not recognize you’	[tęˀ] not [t-a:-gaesa-yę́:de:-ø]	contrastive-indefinite-they:you-recognize-no.aspect
ęgyę́:de:ˀ	‘I will recognize it’	[ę-g-yę́:de:-ˀ]	future-I.a-recognize-punctual
ta:gé:gęh	‘I will not or should not see it’	[tęˀ] not [t-a:-gé:-gę-h]	contrastive-indefinite-I.a-see-no.aspect(pronunciation.h)
ęgé:gęˀ	‘I will see it’	[ę-gé:-gę-ˀ]	future-I.a-see-punctual
a:gatgáhtoh	‘I should (etc.) look at it’	[a:-g-at-gáhtoh]	indefinite-I.a-semireflexive-see.ø.punctual
ta:kní:nǫh	‘I should not or will not buy it’	[tęˀ] not [t-a:-k-hní:nǫ-h]	contrastive-indefinite-I.a-buy-pronunciation.h
e:hsní:nǫˀ	‘you will buy, purchase it’	[e:-hs-hní:nǫ-ˀ]	factual-you(one).a-buy-punctual
ta:gé:gęh	‘I will not or should not see it’	[tęˀ] not [t-a:-gé:-gę-h]	contrastive-indefinite-I.a-see-pronunciation.h
a:gé:gęˀ	‘I should (etc.) see it’	[a:-gé:-gę-ˀ]	indefinite-I.a-see-punctual
dewagatrowi̲há:gyeˀs	'I amnot going along telling here and there'	[tęˀ] not [de-wag-at-hrowi̲-h-á:-gy-e-ˀs]	negative-I.o-semireflexive-tell-pronunciation.h-joinerA-progressive-go-habitual
agatrowíhagyeˀs	'I amgoing along telling here and there'	[ag-at-hrowí-h-a-gy-e-ˀs]	I.o-semireflexive-tell-pronunciation.h-joinerA-progressive-go-habitual
deˀagatrówi̲hne:ˀ	'I haven't/hadn't told'	[tęˀ] not [deˀ-ag-at-hrówi̲-hne:ˀ]	negative-I.o-semireflexive-tell.stative-past
agatrowíhne:ˀ	'I have/had told'	[ag-at-hrowí-hne:ˀ]	I.o-semireflexive-tell.stative-past
ta:gatrówi̲ha:k	'I won't/wouldn't be a teller; I won't/wouldn't tell all the time'	[tęˀ] not [t-a:-g-at-hrówi̲-h-a-:k]	contrastive-indefinite-I.a-semireflexive-tell-pronunciation.h-joinerA-modalizer
ęgatrowíha:k	'I will be a teller, I'll tell all the time’	[ę-g-at-hrowí-h-a:-k]	future-I.a-semireflexive-tell-pronunciation.h-joinerA-modalizer
a:gatrówi̲ha:k	'I would be a teller; I would tell all the time'	[a:-g-at-hrówi̲-h-a-:k]	indefinite-I.a-semireflexive-tell-pronunciation.h-joinerA-modalizer
ta:wagatrowíha:k	'I wouldn't have told'	[tęˀ] not [t-a:-wag-at-hrowí-h-a-:k]	negative-indefinite-semireflexive-tell-pronunciation.h-joinerA-modalizer
ęwagatrówi̲ha:k	'I will have told'	[ę-wag-at-hrówi̲-h-a-:k]	future-I.o-semireflexive-tell-pronunciation.h-joinerA-modalizer
ta:waga:tró:wi:k	'I shouldn't have told'	[tęˀ] not [t-a:-wag-a:t-hró:wi-:k]	contrastive-indefinite-I.o-semireflexive-tell.stative-modalizer
a:waga:tró:wi:k	'I should have told'	[a:-wag-a:t-hró:wi-:k]	indefinite-I.o-semireflexive-tell.stative-modalizer
ta:gatrowi̲hágye̲ˀse:k	'I still wouldn't have been going along telling'	[tęˀ] not [t-a:-g-at-hrowi̲-h-á-gy-e̲-ˀs-e:k]	negative-indefinite-I.a-semireflexive-tell-pronunciation.h-joinerA-progressive-go-habitual-modalizer
ęwagatrowi̲hágye̲ˀse:k	'I will still have been going along telling'	[ę-wag-at-hrowi̲-h-á-gy-e̲-ˀs-e:k]	future-I.o-semireflexive-tell-pronunciation.h-joinerA-progressive-go-habitual-modalizer
a:wagatrowihagyéˀse:k	'I should still have been going along telling'	[a:-wag-at-hrowi-h-a-gy-é-ˀs-e:k]	indefinite-I.o-semireflexive-tell-pronunciation.h-progressive-habitual-modalizer
dewagatrowi̲há:gyeˀ	'I haven't gone along telling'	[tęˀ] not [de-wag-at-hrowi̲-h-á:-gy-e-ˀ]	negative-I.o-semireflexive-tell.stative-pronunciation.h-joinerA-progressive-go-stative
ǫgatrowíhagyeˀ	'I went along telling'	[ǫg-at-hrowí-h-a-gy-e-ˀ]	factual.I.o-semireflexive-tell-pronunciation.h-joinerA-progressive-go-punctual
sa̲hsnęht	‘get down from there’	[s-a̲hsnęht-ø]	you(one).a-descend-no.aspect
satgęh	‘get up’	[s-at-gęh-ø]	you(one).a-semireflexive-awaken-no.aspect
dwagáhdęgyǫ:	‘(where) I come from’	[d-wag-áhdęgy-ǫ:]	cislocative-I.o-leave-stative
dwada:dǫ́:nih	‘where it starts from’	[d-w-ada:d-ǫ́:ni-h]	cislocative-it.a-reflexive-make-habitual
dęyehgwa̲ˀdáhnǫ:ˀ	‘she will raise or lift things up’	[d-ę-ye-hgw-a̲-ˀd-á-hnǫ-:ˀ]	dualic-future-she.a-lift.up-joinerA-causative-joinerA-distributive-punctual
ęya:gó:da:ˀ	‘she will drape it’	[ę-ya:g-ó:da:-ˀ]	future-she/someone.a-drape-punctual
ęyé:gęˀ	‘she will see it’	[ę-yé:-gę-ˀ]	future-she/someone.a-see-punctual
a:yé:gęˀ	‘she might see it’	[a:-yé:-gę-ˀ]	indefinite-she/someone.a-see-punctual
aˀé:gęˀ	‘she did see it’	[aˀ-é:-gę-ˀ]	factual-she/someone.a-see-punctual
é:gęhs	‘she sees it’	[é:-gę-hs]	she/someone.a-see-habitual
aˀé:gęˀ	‘she saw it’	[aˀ-e:-gę-ˀ]	factual-she.a-see.punctual
aˀédagraˀ	‘she fell down’	[aˀ-e-(i)dagraˀ]	factual-she.a-fall.down.punctual
aˀǫdęnaˀtragwáhaˀ	‘she went after groceries’	[aˀ-ǫ-(a)dę-naˀtra-gwáha-ˀ]	factual-she.a-semireflexive-provisions-go.and.get-punctual
aˀǫniˀdé:niˀ	‘she farted’	[aˀ-ǫ-(ę)niˀde:niˀ]	factual-she.a-fart.punctual
dęyagodáihsiˀ	‘she undraped it’	[dę-yag-odaihsiˀ]	dualic.future-she.a-undrape.punctual
ęsę́:daˀ	‘you will sleep’	[ę-sa-idaˀ]	future-you(one).o-sleep-ø.punctual
